trial_id,spike_times,condition_id,condition_angle,unit_label
128,"[1892.6, 1935.2, 3161.5]",3,90,"A588, U18, #15, OT"
129,"[240.9, 446.3, 469.2, 531.6, 586.4, 657.5, 2489.6, 2549.1, 2721.9, 2877.7, 4049.0]",2,60,"A588, U18, #15, OT"
130,"[962.4, 1032.5, 1034.7, 3488.8, 3538.4, 3593.5, 3640.9, 3656.3, 3821.7, 3969.8, 4025.6, 4063.0, 4098.1, 4145.4, 4228.8, 4284.9, 4332.5, 4419.6]",9,270,"A588, U18, #15, OT"
131,"[1305.1, 1796.5, 2296.4, 2325.5, 2389.9, 2490.8, 4128.0, 4142.2, 4173.0, 4240.0, 4329.8, 4442.4, 4458.9]",8,240,"A588, U18, #15, OT"
132,"[978.7, 1030.9, 1106.2, 1267.1, 1327.5, 2890.3, 2947.3, 3651.5, 4095.5, 4143.3, 4174.4, 4207.6, 4242.1, 4266.8, 4349.1, 4371.9, 4427.0, 4431.0]",10,300,"A588, U18, #15, OT"
133,"[140.9, 285.9, 2292.1, 3128.7, 3178.2, 4013.1, 4079.0, 4192.9, 4211.9, 4324.0]",11,330,"A588, U18, #15, OT"
134,"[583.5, 786.2, 872.6, 1482.4, 1528.7, 1595.5, 1601.4, 1652.1, 1664.7, 1719.1, 1743.6, 1760.1, 1822.2, 1844.1, 1877.6, 1897.5]",2,60,"A588, U18, #15, OT"
135,"[1144.0, 1282.7, 2279.0, 3507.1, 3904.8, 4220.3, 4417.1]",1,30,"A588, U18, #15, OT"
136,"[849.3, 924.7, 1002.1, 1089.8, 1098.5, 1375.2, 2370.9, 2543.7, 4096.1, 4120.7, 4138.7, 4199.8, 4204.3, 4249.3, 4373.1, 4432.2]",10,300,"A588, U18, #15, OT"
137,"[1436.2, 1467.9, 1542.6, 1693.6, 1738.2, 4090.7, 4133.8]",4,120,"A588, U18, #15, OT"
138,"[222.6, 356.6, 1177.2, 1225.1, 1422.6, 1845.9, 2010.0, 3037.4, 4100.9, 4108.4, 4136.2, 4214.0, 4251.5, 4278.2, 4331.8, 4376.2, 4417.1, 4450.7]",9,270,"A588, U18, #15, OT"
139,"[813.8, 2239.2, 2429.6, 2926.7]",6,180,"A588, U18, #15, OT"
140,"[835.8, 875.8, 1046.5, 2162.7, 3792.3, 4018.9, 4208.6, 4408.4]",3,90,"A588, U18, #15, OT"
141,"[820.0, 1270.3, 1344.1, 1434.7, 1643.9, 3964.2, 4107.1, 4111.3, 4163.5, 4201.9, 4266.2, 4291.4, 4335.2]",0,0,"A588, U18, #15, OT"
142,"[1272.8, 1522.9, 1823.3, 1839.8, 1924.8, 1988.2, 1998.6, 2014.8, 2067.7, 2103.7, 2214.4, 2838.0, 2979.9, 3581.1, 3690.7, 4084.9, 4112.4, 4386.9]",8,240,"A588, U18, #15, OT"
143,"[359.9, 473.1, 821.3, 1003.7, 1384.1, 1462.0, 1532.1, 1642.7, 1664.2, 1686.8, 1699.8, 1719.4, 1725.6, 1810.5, 1814.0, 1866.3, 1918.9, 2414.7, 2432.4, 2436.0, 2441.6, 2457.5, 2468.0, 2507.0, 2511.4, 2528.6, 2538.4, 2542.5, 2612.4, 2645.2, 2679.8, 3275.5, 3281.7, 3327.3, 3335.4, 3392.9, 3422.2, 3442.1, 3484.4, 3503.4, 3602.6, 3844.9, 3874.1, 3891.4, 3893.9, 3897.7, 3899.3, 3936.6, 3967.0, 4003.3, 4104.1, 4113.5, 4141.5, 4152.7, 4164.6, 4244.0]",7,210,"A588, U18, #15, OT"
144,"[259.4, 292.5, 386.7, 399.9, 425.3, 518.5, 569.9, 724.1, 753.0, 788.7, 1096.7, 1313.9, 1726.4, 1827.5, 1861.9, 1948.0, 2178.8, 2241.5, 3639.0, 3748.4]",5,150,"A588, U18, #15, OT"
145,"[99.7, 120.9, 228.0, 269.0, 314.6, 349.9, 355.5, 396.5, 479.8, 588.2, 858.6, 922.3, 938.9, 992.9, 1029.0, 1061.0, 1141.3, 1148.5, 1163.4, 1222.1, 1239.4, 1363.9, 1389.0, 1398.6, 1400.2, 1424.2, 1443.0, 1463.9, 3608.9, 3993.7, 4177.4]",11,330,"A588, U18, #15, OT"
146,"[1066.0, 1557.1, 2744.4, 2860.4, 3659.9, 3797.9, 3841.8, 3883.6, 3895.6, 4022.5, 4061.3, 4074.5, 4093.4, 4228.5, 4280.7, 4357.1]",6,180,"A588, U18, #15, OT"
147,"[2129.1, 2259.6, 2420.0, 3291.9, 4152.5, 4276.2, 4419.7]",1,30,"A588, U18, #15, OT"
148,"[771.9, 1020.2, 1142.3, 1459.7, 1510.5, 1525.5, 1754.2, 1954.0, 2055.8, 2058.1, 2074.3, 2097.4, 2100.2, 2103.2, 2108.5, 2110.5, 2181.4, 2190.9, 2213.1, 2258.1, 2283.8, 2326.8, 2342.1, 2347.4, 2352.3, 2574.3, 2672.3, 2674.9, 2893.4, 3645.9, 3842.2, 3879.0]",7,210,"A588, U18, #15, OT"
149,"[677.6, 1111.3, 1146.4, 1360.9, 1394.8, 1515.1, 1604.3, 2422.1, 2625.5, 2926.3, 2976.8, 2992.7, 3071.6, 3086.3, 3111.1, 3113.6, 3159.0, 3161.3, 3164.9, 3169.2, 3193.1, 3254.2, 3288.3, 3307.2, 3499.4]",4,120,"A588, U18, #15, OT"
150,"[1917.1, 2236.6, 2244.9, 2359.6, 2378.0, 2422.8, 2523.3, 4332.7, 4445.2]",8,240,"A588, U18, #15, OT"
151,"[2069.1, 2151.7, 2181.2, 3463.0, 3517.3, 3674.1, 3757.9, 3953.0, 4055.6, 4107.3, 4177.6, 4322.3, 4393.7, 4395.4, 4459.8]",10,300,"A588, U18, #15, OT"
152,"[882.0, 1058.4, 1248.5, 1521.6, 1761.1, 1775.2, 1780.5, 2571.0, 2914.4, 3015.0, 3065.1, 3078.9, 3117.5, 3126.9, 3184.4, 3189.8, 3193.5, 3196.4, 3227.7, 3291.1, 3311.3, 3345.5, 3437.5, 4226.9]",5,150,"A588, U18, #15, OT"
153,"[519.1, 3047.8, 4306.0]",0,0,"A588, U18, #15, OT"
154,"[4110.0, 4117.4, 4165.8, 4199.2, 4209.0, 4333.5, 4335.2, 4338.3]",9,270,"A588, U18, #15, OT"
155,[1362.0],3,90,"A588, U18, #15, OT"
156,"[1016.5, 1345.5, 1408.9, 2299.9, 2973.4, 4078.2]",2,60,"A588, U18, #15, OT"
157,"[145.6, 344.4, 3572.7, 3585.8, 3632.4, 3689.6, 4214.6, 4262.7]",11,330,"A588, U18, #15, OT"
158,"[3327.7, 3474.1]",4,120,"A588, U18, #15, OT"
159,"[602.6, 618.5, 2213.5, 2811.4, 4091.5, 4280.3]",0,0,"A588, U18, #15, OT"
160,"[730.7, 1210.3]",3,90,"A588, U18, #15, OT"
161,"[420.5, 431.4, 1469.4, 1502.7, 1652.8, 1995.1, 2026.0, 2075.9, 2079.6, 2141.1, 2391.6, 2597.1, 2857.1, 2943.1, 2993.4, 3034.5, 3103.8, 3116.8, 3221.6, 3295.5, 3365.8, 3390.7, 3622.8, 3645.6, 3799.0, 3860.5, 3938.4, 3973.4, 4170.2]",2,60,"A588, U18, #15, OT"
162,"[171.8, 429.0, 701.7, 762.1, 781.2, 983.1, 1724.8, 2344.5, 2416.9, 2746.6, 2800.6, 2811.3, 2836.2, 2876.7, 2946.3, 2988.7, 4038.9, 4054.5, 4123.3, 4173.1, 4206.8, 4224.4, 4243.9, 4274.8, 4351.5, 4357.3, 4467.6]",8,240,"A588, U18, #15, OT"
163,"[2410.4, 4065.3, 4087.1, 4150.8, 4208.8, 4442.4]",10,300,"A588, U18, #15, OT"
164,[],5,150,"A588, U18, #15, OT"
165,"[1211.3, 1376.0, 4080.6, 4167.7, 4178.6, 4234.4, 4243.9, 4303.6, 4385.7]",9,270,"A588, U18, #15, OT"
166,"[1473.6, 3113.2, 3160.7]",6,180,"A588, U18, #15, OT"
167,"[2163.9, 2435.1, 2778.3, 2991.9, 3262.8, 3334.4, 3337.1, 4324.0, 4362.2, 4405.9]",7,210,"A588, U18, #15, OT"
168,[],1,30,"A588, U18, #15, OT"
169,"[273.5, 1874.6, 3018.5, 3080.9, 3139.7, 4108.7, 4110.3, 4138.1, 4169.7, 4212.9, 4250.0, 4257.6, 4363.9, 4394.5]",11,330,"A588, U18, #15, OT"
170,"[1198.3, 3833.2, 3971.3, 4060.3, 4080.8]",3,90,"A588, U18, #15, OT"
171,"[1417.2, 1672.5, 1687.0, 1691.8, 3505.0]",5,150,"A588, U18, #15, OT"
172,"[42.9, 511.6, 2926.0, 2965.2, 2979.9, 3013.8, 3059.1, 3134.7, 4294.8]",4,120,"A588, U18, #15, OT"
173,"[227.8, 245.3, 2390.2, 2619.0, 2735.9, 2754.3, 2875.2, 2964.3, 3029.7, 3063.7, 3127.3, 3148.7, 3176.3, 3367.8, 3386.2, 3704.7, 3789.2]",6,180,"A588, U18, #15, OT"
174,"[1921.3, 2059.4, 2214.2, 2685.7, 3632.1, 4077.0, 4083.9, 4173.7, 4197.4]",8,240,"A588, U18, #15, OT"
175,"[4085.4, 4131.2, 4175.1, 4216.2, 4330.9, 4391.5]",0,0,"A588, U18, #15, OT"
176,"[4138.9, 4158.3, 4166.8, 4321.0, 4438.2, 4465.5]",10,300,"A588, U18, #15, OT"
177,"[768.5, 877.9, 1358.9, 2035.6, 4055.3, 4081.1, 4102.3, 4113.0, 4128.2, 4199.0, 4229.4, 4267.1, 4320.0, 4358.1, 4447.6]",9,270,"A588, U18, #15, OT"
178,"[1541.8, 1543.5]",2,60,"A588, U18, #15, OT"
179,"[2350.5, 2512.6, 2636.8, 2717.8]",7,210,"A588, U18, #15, OT"
180,"[64.9, 144.5, 2306.3, 3101.4, 3247.3, 3253.6, 3325.1, 3366.2, 3868.1, 4384.0]",1,30,"A588, U18, #15, OT"
181,"[88.2, 231.4, 1448.5, 1531.4, 1995.8, 2253.8, 2534.8, 3340.4, 3348.3, 3355.6, 4088.0, 4124.6, 4183.5, 4213.5, 4424.4, 4440.9, 4463.2]",11,330,"A588, U18, #15, OT"
