trial_id,spike_times,condition_id,condition_angle,unit_label
35,"[289.1, 1070.3, 2870.6, 2893.4, 2900.9, 2904.1, 2906.2, 3003.7, 3033.2, 3219.8, 4101.3, 4124.8, 4192.6, 4241.7, 4243.3, 4245.9, 4308.8, 4349.7, 4377.5, 4384.3, 4398.4]",9,270,"A588, U18, #15, OT"
36,"[533.7, 2339.2, 2455.8, 2476.6, 2528.1, 2533.9, 2539.4, 3150.8, 3303.5, 3329.1, 3354.7, 3374.4, 3422.6, 3464.0, 3658.1, 3662.5, 3674.9, 3772.5, 3788.9, 3897.7, 4019.2, 4117.7, 4128.9, 4239.8, 4254.6, 4327.1, 4383.7, 4440.1]",10,300,"A588, U18, #15, OT"
37,"[8.9, 174.0, 217.6, 1381.7, 2528.0]",4,120,"A588, U18, #15, OT"
38,"[1100.6, 1410.9, 1422.4, 1503.9, 1598.8, 1603.3, 1780.1, 1808.3, 1848.2, 2038.1, 2167.6, 4414.6]",2,60,"A588, U18, #15, OT"
39,"[788.5, 846.0, 893.1, 1010.3, 1307.4, 1681.6, 4117.2, 4230.7, 4315.6, 4365.6, 4379.2, 4445.0, 4466.5]",11,330,"A588, U18, #15, OT"
40,"[642.0, 847.3, 920.3, 988.2, 1413.0, 2581.2, 4273.4]",3,90,"A588, U18, #15, OT"
41,"[2740.4, 2815.6]",6,180,"A588, U18, #15, OT"
42,"[1557.8, 1574.9, 3120.1, 3233.6, 3836.4, 4097.9, 4100.6, 4139.3, 4230.9, 4280.3, 4339.6, 4381.9]",8,240,"A588, U18, #15, OT"
43,"[3.5, 269.5, 421.5, 1173.7, 1482.8, 1551.6, 1584.0, 2047.6, 2157.8, 2227.6, 2340.4, 2653.6, 2843.7, 3123.0, 3245.9, 3312.1, 3562.9, 3878.0, 3974.3, 4081.9, 4141.0, 4253.0, 4324.5, 4447.3]",10,300,"A588, U18, #15, OT"
44,"[5.9, 714.0, 781.7, 895.1, 911.9, 992.7, 1061.6, 1084.7, 1127.4, 1217.9, 1246.8, 1305.0, 1358.3, 1434.3, 1573.8, 1585.9, 1655.6, 1657.4, 2865.0, 3120.1, 3365.0, 4348.3, 4412.3, 4433.7]",7,210,"A588, U18, #15, OT"
45,"[39.4, 50.3, 100.5, 189.7, 700.1, 769.2, 893.6, 897.0, 1011.1, 1352.3, 1438.5, 2005.9, 2191.9, 2229.2, 2297.3, 2388.5, 2451.2, 2540.1, 2998.1, 3018.2, 3343.0, 3561.6, 3591.9, 3661.2, 3705.8, 3788.7, 3801.7, 3885.0, 4073.9, 4085.7, 4146.8]",1,30,"A588, U18, #15, OT"
46,"[449.8, 613.5, 642.5, 810.7, 1225.2, 1652.9, 1792.4, 1809.1, 1831.4, 1856.5, 2080.8, 2188.9, 2244.5, 2267.5, 2289.5, 2334.1, 2340.2, 2359.5, 2361.3, 2466.6, 3829.5, 4062.2, 4167.7, 4307.2, 4362.6]",0,0,"A588, U18, #15, OT"
47,"[578.4, 1190.3, 1213.6, 1395.2, 1418.5, 1485.2, 1881.5, 1945.5, 4121.2, 4187.3, 4349.5, 4470.8]",9,270,"A588, U18, #15, OT"
48,"[724.0, 917.6, 1000.8, 1113.2, 1257.7, 1353.1, 1794.9, 1817.7, 1824.7, 1844.6, 1846.5, 1855.4, 1864.3, 1873.6, 1882.3, 1889.4, 1893.2, 1897.4, 1913.4, 1924.7, 1984.5, 1990.4, 2105.2, 2215.2, 3329.4, 3551.9, 3587.1, 3601.4, 3621.8, 3695.8, 3772.8, 3778.1, 3826.1, 3887.2, 3952.1, 3997.4, 4042.3]",5,150,"A588, U18, #15, OT"
49,"[185.1, 234.4, 240.4, 243.4, 348.2, 390.4, 425.3, 455.5, 487.4, 568.1, 647.8, 664.2, 752.2, 848.4, 1056.8, 1101.4, 1412.1, 1421.8, 1504.8, 1700.2, 2103.8, 3019.6, 3472.2, 3644.5, 3737.2, 3742.7]",4,120,"A588, U18, #15, OT"
